"*Beginning for the 2015-16 season, reports from public health and clinical laboratories are presented separately in the weekly influenza update, FluView.  Data presented from public health laboratories include the weekly total number of specimens tested, the number of positive influenza tests, and the number by influenza virus type, subtype, and influenza B lineage."
REGION TYPE,REGION,YEAR,WEEK,TOTAL SPECIMENS,A (2009 H1N1),A (H3),A (Subtyping not Performed),B,BVic,BYam,H3N2v,A (H5)
HHS Regions,Region 1,2017,10,161,0,74,0,29,4,13,0,0
HHS Regions,Region 9,2017,10,545,12,204,3,5,8,28,0,0
HHS Regions,Region 1,2017,11,94,0,30,0,17,1,18,0,0
HHS Regions,Region 9,2017,11,517,4,187,4,11,11,45,0,0
HHS Regions,Region 1,2017,12,147,1,46,0,27,4,34,0,0
HHS Regions,Region 9,2017,12,488,3,133,1,6,13,30,0,0
HHS Regions,Region 1,2017,13,168,0,54,0,28,7,45,0,0
HHS Regions,Region 9,2017,13,399,7,95,0,2,9,45,0,0
HHS Regions,Region 1,2017,14,176,0,45,1,6,12,70,0,0
HHS Regions,Region 9,2017,14,367,7,75,0,4,7,39,0,0
HHS Regions,Region 1,2017,15,143,2,27,0,2,6,66,0,0
HHS Regions,Region 9,2017,15,300,1,51,0,4,15,52,0,0
HHS Regions,Region 1,2017,16,90,1,12,1,1,9,36,0,0
HHS Regions,Region 9,2017,16,305,4,51,0,6,10,51,0,0
HHS Regions,Region 1,2017,17,53,0,4,0,0,1,18,0,0
HHS Regions,Region 9,2017,17,308,4,65,0,9,15,65,0,0
HHS Regions,Region 1,2017,18,38,0,4,0,1,0,17,0,0
HHS Regions,Region 9,2017,18,256,4,35,2,5,14,44,0,0
HHS Regions,Region 1,2017,19,24,0,3,0,0,0,2,0,0
HHS Regions,Region 9,2017,19,251,2,29,0,3,26,73,0,0
HHS Regions,Region 1,2017,20,10,0,2,0,0,0,2,0,0
HHS Regions,Region 9,2017,20,229,3,22,0,7,21,61,0,0
HHS Regions,Region 1,2017,21,5,0,0,0,0,0,1,0,0
HHS Regions,Region 9,2017,21,235,4,23,0,9,19,57,0,0
HHS Regions,Region 1,2017,22,2,0,0,0,0,0,0,0,0
HHS Regions,Region 9,2017,22,211,0,20,0,4,35,43,0,0
HHS Regions,Region 1,2017,23,2,0,1,0,0,0,0,0,0
HHS Regions,Region 9,2017,23,180,4,15,0,5,15,46,0,0
HHS Regions,Region 1,2017,24,3,0,1,0,0,0,0,0,0
HHS Regions,Region 9,2017,24,183,5,31,0,1,8,30,0,0
HHS Regions,Region 1,2017,25,2,0,2,0,0,0,0,0,0
HHS Regions,Region 9,2017,25,169,3,19,0,3,8,26,0,0
HHS Regions,Region 1,2017,26,6,0,0,0,0,0,0,0,0
HHS Regions,Region 9,2017,26,114,1,6,1,1,4,18,0,0
HHS Regions,Region 1,2017,27,0,0,0,0,0,0,0,0,0
HHS Regions,Region 9,2017,27,113,5,12,0,0,7,4,0,0
HHS Regions,Region 1,2017,28,5,0,1,0,0,0,0,0,0
HHS Regions,Region 9,2017,28,111,2,11,0,1,5,4,0,0
HHS Regions,Region 1,2017,29,0,0,0,0,0,0,0,0,0
HHS Regions,Region 9,2017,29,107,5,5,0,0,0,7,0,0
HHS Regions,Region 1,2017,30,2,0,2,0,0,0,0,0,0
HHS Regions,Region 9,2017,30,136,2,7,3,0,1,19,0,0
HHS Regions,Region 1,2017,31,0,0,0,0,0,0,0,0,0
HHS Regions,Region 9,2017,31,140,5,7,0,0,0,7,0,0
HHS Regions,Region 1,2017,32,2,1,1,0,0,0,0,0,0
HHS Regions,Region 9,2017,32,140,3,9,1,0,0,19,0,0
